Player_Name,Age,Position,Continent,Minutes_Played,Goals,Assists,Defensive_Impact,Injury_Days,Market_Value_M,Contract_Years_Left,Coach_Trust_Score,Saves,Contract_Renewed
Player_77,35,Defender,Africa,2309,2,1.0,57,34.0,5.2,0,76,0,1
Player_78,24,Forward,Africa,2487,14,8.0,32,12.0,3.3,3,68,0,1
Player_79,27,Defender,Asia,2654,0,3.0,90,26.0,46.2,0,63,0,1
Player_80,21,Forward,Asia,1132,20,6.0,39,23.0,1.1,3,81,0,0
Player_81,26,Midfielder,Europe,2265,8,8.0,73,2.0,25.1,2,100,0,1
Player_82,31,Forward,Asia,3155,8,2.0,38,19.0,,2,49,0,1
Player_83,32,Goalkeeper,South America,2105,0,0.0,63,0.0,1.0,2,87,92,1
Player_84,20,Goalkeeper,Africa,1422,0,0.0,64,51.0,14.1,2,22,82,0
Player_85,24,Goalkeeper,South America,581,0,0.0,69,13.0,28.4,2,72,123,0
Player_86,24,Defender,South America,1536,7,2.0,70,17.0,21.0,3,42,0,0
Player_87,23,Goalkeeper,Asia,1871,0,0.0,69,7.0,7.3,1,46,82,1
Player_88,32,Defender,Europe,609,4,4.0,38,11.0,12.4,1,23,0,0
Player_89,22,Midfielder,South America,1533,13,10.0,89,,1.1,3,37,0,0
Player_90,27,Goalkeeper,Africa,1466,0,0.0,80,13.0,12.4,2,55,103,0
Player_91,24,Defender,Asia,2895,0,3.0,78,11.0,22.9,2,56,0,1
Player_92,29,Defender,Europe,2089,0,4.0,59,0.0,1.0,1,84,0,1
Player_93,20,Defender,Europe,3252,0,5.0,73,16.0,,2,80,0,1
Player_94,25,Midfielder,Asia,30,10,7.0,72,10.0,17.1,2,49,0,0
Player_95,19,Goalkeeper,Europe,1391,0,0.0,81,21.0,15.2,2,45,100,0
Player_96,23,Forward,Asia,1733,13,2.0,46,0.0,33.4,3,52,0,0
Player_97,27,Forward,Africa,2789,21,8.0,20,0.0,8.6,2,75,0,1
Player_98,28,Goalkeeper,Africa,1764,0,0.0,72,2.0,8.8,3,23,62,0
Player_99,20,Goalkeeper,Asia,1614,0,0.0,85,0.0,57.5,0,52,95,1
Player_100,22,Midfielder,Africa,2620,3,7.0,95,16.0,35.2,0,64,0,1
Player_101,25,Forward,South America,3262,8,10.0,50,6.0,27.5,3,89,0,1
Player_102,28,Goalkeeper,Europe,1257,0,0.0,59,13.0,16.9,2,54,95,0
Player_103,20,Midfielder,South America,2428,8,9.0,86,34.0,24.9,1,73,0,1
Player_104,19,Forward,Europe,2457,13,5.0,20,0.0,33.8,2,74,0,1
Player_105,28,Goalkeeper,Europe,2216,0,0.0,70,36.0,10.3,2,76,76,1
Player_106,24,Goalkeeper,South America,2014,0,0.0,73,8.0,36.8,0,61,84,1
Player_107,24,Forward,Europe,3068,13,8.0,20,23.0,31.3,0,76,0,1
Player_108,30,Forward,Africa,1889,20,11.0,34,9.0,39.8,3,68,0,0
Player_109,23,Goalkeeper,Europe,1947,0,0.0,65,0.0,4.2,3,29,66,0
Player_110,25,Defender,South America,2340,5,0.0,84,13.0,17.3,2,85,0,1
Player_111,21,Forward,South America,2429,12,6.0,44,67.0,8.4,2,67,0,1
Player_112,23,Forward,South America,1866,8,8.0,61,6.0,5.5,1,52,0,1
Player_113,23,Goalkeeper,Europe,2579,0,0.0,73,0.0,41.2,1,100,71,1
Player_114,24,Forward,Europe,2371,14,6.0,70,14.0,,1,54,0,1
Player_115,23,Goalkeeper,Europe,2180,0,0.0,95,7.0,21.4,0,74,125,1
Player_116,36,Goalkeeper,Asia,1881,0,0.0,62,38.0,28.2,2,72,107,1
Player_117,24,Goalkeeper,Africa,2554,0,0.0,86,34.0,25.6,1,91,125,1
Player_118,31,Goalkeeper,Asia,2589,0,0.0,67,20.0,36.1,2,62,101,1
Player_119,24,Goalkeeper,Africa,2217,0,0.0,89,21.0,18.7,3,54,112,0
Player_120,28,Goalkeeper,Asia,3400,0,0.0,65,22.0,21.7,1,98,87,1
Player_121,27,Forward,Asia,2564,13,3.0,42,39.0,2.6,3,76,0,1
Player_122,23,Midfielder,South America,2917,0,4.0,75,49.0,17.0,1,66,0,1
Player_123,33,Goalkeeper,Europe,1331,0,,37,26.0,10.5,3,29,111,0
Player_124,26,Midfielder,Europe,1861,0,10.0,79,16.0,45.7,2,28,0,0
Player_125,19,Defender,South America,1784,1,2.0,66,,1.0,3,66,0,0
Player_126,25,Defender,Africa,2870,2,2.0,78,26.0,27.6,3,94,0,1
Player_127,26,Forward,South America,2625,11,9.0,29,,17.4,2,53,0,1
Player_128,26,Defender,Asia,1791,3,0.0,63,0.0,11.2,1,20,0,0
Player_129,19,Midfielder,Africa,2656,9,8.0,55,17.0,17.9,3,57,0,1
Player_130,32,Midfielder,Africa,2726,5,7.0,73,0.0,14.3,2,64,0,1
Player_131,21,Goalkeeper,Asia,2031,0,0.0,95,30.0,9.4,1,83,131,1
Player_132,29,Defender,South America,2235,0,3.0,75,35.0,27.5,3,90,0,1
Player_133,23,Goalkeeper,Europe,2990,0,0.0,72,59.0,7.7,2,100,95,1
Player_134,23,Goalkeeper,Asia,30,0,0.0,62,11.0,24.4,3,52,72,0
Player_135,25,Midfielder,Asia,3400,12,8.0,70,20.0,27.2,1,59,0,1
Player_136,24,Midfielder,Europe,1198,7,9.0,62,49.0,1.0,0,23,0,0
Player_137,26,Midfielder,Europe,2828,12,5.0,86,17.0,15.4,2,88,0,1
Player_138,28,Defender,Asia,1254,4,4.0,60,25.0,25.4,2,48,0,0
Player_139,23,Defender,Asia,1797,1,4.0,78,10.0,29.6,3,20,0,0
Player_140,30,Goalkeeper,Asia,1156,0,,64,0.0,1.0,3,62,75,0
Player_141,27,Defender,South America,2171,2,2.0,50,37.0,,2,51,0,0
Player_142,24,Defender,Africa,3100,3,1.0,64,11.0,49.2,3,80,0,1
Player_143,27,Midfielder,Europe,2818,6,5.0,67,16.0,17.4,2,85,0,1
Player_144,26,Midfielder,South America,2639,5,7.0,40,36.0,23.2,3,89,0,1
Player_145,18,Forward,South America,3400,11,,24,30.0,2.2,2,65,0,1
Player_146,33,Midfielder,Asia,2085,6,10.0,77,21.0,23.5,2,100,0,1
Player_147,25,Goalkeeper,Asia,2320,0,0.0,85,40.0,35.8,0,84,55,1
Player_148,32,Midfielder,Europe,1512,7,3.0,69,24.0,22.8,2,51,0,0
Player_149,32,Forward,Africa,2472,10,7.0,57,0.0,27.0,1,85,0,1
Player_150,24,Forward,Asia,3025,11,5.0,37,18.0,1.6,1,53,0,1
Player_151,32,Forward,Europe,1691,6,0.0,30,0.0,42.6,2,60,0,1
Player_152,23,Midfielder,Asia,3400,9,5.0,32,63.0,1.0,3,50,0,0
Player_153,30,Defender,Europe,3400,4,3.0,78,,29.4,1,79,0,1
Player_154,26,Defender,South America,2162,0,1.0,44,16.0,3.2,0,58,0,1
Player_155,26,Forward,South America,3035,17,0.0,25,36.0,3.3,3,71,0,1
Player_156,28,Forward,Africa,1618,12,0.0,30,24.0,1.0,2,51,0,0
Player_157,25,Goalkeeper,Europe,2531,0,0.0,73,45.0,19.9,0,68,93,1
Player_158,28,Midfielder,South America,2229,6,4.0,60,0.0,44.2,1,56,0,1
Player_159,23,Forward,Asia,1768,17,4.0,58,4.0,22.2,2,32,0,0
Player_160,34,Forward,Europe,1487,13,6.0,46,14.0,16.1,0,45,0,1
Player_161,25,Midfielder,Europe,2778,14,4.0,49,16.0,56.7,2,62,0,1
Player_162,32,Goalkeeper,Europe,3206,0,0.0,61,29.0,42.4,2,69,83,1
Player_163,23,Goalkeeper,Africa,1591,0,0.0,60,0.0,18.5,2,33,97,0
Player_164,19,Midfielder,South America,2398,9,0.0,75,42.0,1.0,0,100,0,1
Player_165,27,Forward,Africa,1776,11,6.0,41,28.0,4.2,2,47,0,0
Player_166,20,Midfielder,South America,2133,2,4.0,88,39.0,27.1,0,58,0,1
Player_167,24,Goalkeeper,Asia,2927,0,0.0,72,64.0,23.9,2,77,80,1
Player_168,26,Forward,Europe,2108,16,7.0,28,0.0,1.0,0,82,0,1
Player_169,21,Goalkeeper,South America,908,0,0.0,75,67.0,17.9,1,57,92,0
Player_170,25,Defender,South America,2751,1,,74,4.0,32.9,2,72,0,1
Player_171,22,Forward,Africa,2521,6,5.0,39,39.0,25.1,1,74,0,1
Player_172,29,Forward,Europe,3034,15,5.0,20,0.0,13.4,3,65,0,1
Player_173,25,Defender,Europe,2233,3,1.0,77,19.0,1.0,0,60,0,1
Player_174,25,Defender,South America,1474,3,5.0,88,13.0,40.4,3,47,0,0
Player_175,24,Midfielder,South America,1831,4,5.0,72,21.0,18.0,2,51,0,0
Player_176,30,Goalkeeper,Europe,2769,0,0.0,47,0.0,32.0,2,54,83,1
Player_177,21,Forward,Europe,1118,15,7.0,31,0.0,9.8,1,50,0,1
Player_178,20,Midfielder,Africa,2310,5,9.0,71,0.0,35.9,2,72,0,1
Player_179,25,Forward,Africa,1640,9,2.0,37,52.0,1.0,3,20,0,0
Player_180,31,Defender,Asia,2074,0,4.0,60,54.0,28.2,0,67,0,1
Player_181,34,Forward,Asia,1836,16,5.0,59,,18.5,2,33,0,0
Player_182,27,Defender,Europe,1793,6,2.0,64,21.0,1.0,0,30,0,1
Player_183,30,Forward,South America,1805,5,6.0,57,32.0,32.9,1,33,0,0
Player_184,20,Forward,South America,3100,10,4.0,59,29.0,24.8,2,100,0,1
Player_185,23,Forward,Africa,2756,12,5.0,62,28.0,26.1,3,91,0,1
Player_186,24,Defender,South America,1696,0,0.0,95,0.0,14.7,2,40,0,0
Player_187,27,Defender,Europe,2689,3,0.0,67,23.0,14.3,3,99,0,1
Player_188,27,Midfielder,Asia,2640,8,11.0,72,0.0,24.0,1,65,0,1
Player_189,23,Goalkeeper,Africa,2551,0,0.0,88,18.0,22.6,0,100,97,1
Player_190,36,Midfielder,Europe,2539,0,10.0,75,,28.1,3,72,0,1
Player_191,21,Midfielder,Asia,2074,2,4.0,78,51.0,23.9,3,57,0,0
Player_192,27,Defender,Europe,2917,0,1.0,70,2.0,27.7,0,73,0,1
Player_193,27,Goalkeeper,Africa,1667,0,0.0,63,,12.4,1,70,78,1
Player_194,26,Midfielder,South America,2759,0,0.0,47,43.0,9.7,3,100,0,1
Player_195,23,Goalkeeper,Africa,2310,0,0.0,93,58.0,48.9,3,93,120,1
Player_196,28,Goalkeeper,Africa,2667,0,0.0,61,1.0,17.9,1,72,76,1
Player_197,28,Defender,Europe,2773,2,4.0,52,14.0,7.2,0,47,0,1
Player_198,25,Midfielder,South America,2126,12,9.0,54,55.0,36.3,1,83,0,1
Player_199,25,Goalkeeper,Europe,1624,0,0.0,64,39.0,46.3,2,68,75,1
Player_200,21,Forward,Asia,2284,1,5.0,37,8.0,1.0,2,82,0,1
Player_201,23,Goalkeeper,Africa,1498,0,0.0,26,,44.6,3,69,76,0
Player_202,23,Defender,Africa,2481,0,2.0,81,42.0,16.5,3,71,0,1
Player_203,22,Forward,Africa,1703,10,6.0,53,1.0,40.4,3,40,0,0
Player_204,25,Forward,Africa,1751,0,7.0,51,12.0,19.0,2,52,0,0
Player_205,19,Goalkeeper,Africa,1882,0,0.0,81,0.0,22.4,0,24,103,1
Player_206,25,Forward,South America,1230,18,2.0,27,22.0,35.2,0,29,0,0
Player_207,26,Forward,Asia,2457,16,5.0,34,1.0,19.3,2,58,0,1
Player_208,18,Defender,Africa,3800,2,3.0,34,0.0,27.3,2,100,0,1
Player_209,26,Goalkeeper,South America,1763,0,0.0,67,45.0,8.3,1,33,75,0
Player_210,22,Defender,Africa,60,2,5.0,74,12.0,13.6,0,21,0,0
Player_211,29,Goalkeeper,Asia,60,0,0.0,68,14.0,65.9,2,49,67,0
Player_212,24,Defender,Asia,2889,2,0.0,83,4.0,46.1,2,91,0,1
Player_213,24,Goalkeeper,Asia,2968,0,0.0,71,35.0,25.3,3,62,70,1
Player_214,30,Defender,Europe,1999,1,0.0,76,59.0,2.0,0,45,0,1
Player_215,31,Defender,Asia,2152,2,0.0,76,14.0,32.8,2,92,0,1
Player_216,36,Goalkeeper,Africa,2547,0,0.0,74,21.0,12.7,2,80,81,1
Player_217,26,Goalkeeper,Asia,2990,0,0.0,54,40.0,37.8,0,73,26,1
Player_218,23,Midfielder,Europe,2978,5,,62,34.0,26.2,3,71,0,1
Player_219,24,Defender,Asia,1964,0,5.0,65,42.0,40.8,0,59,0,1
Player_220,24,Defender,South America,2442,1,0.0,74,0.0,35.8,1,68,0,1
Player_221,26,Midfielder,Europe,60,7,5.0,78,8.0,31.1,3,24,0,0
Player_222,26,Defender,South America,3363,0,0.0,77,21.0,23.3,2,82,0,1
Player_223,28,Midfielder,Europe,2865,7,6.0,80,55.0,16.0,3,60,0,0
Player_224,30,Defender,Asia,2127,0,3.0,61,16.0,23.0,2,77,0,1
Player_225,28,Midfielder,Asia,1938,8,5.0,81,30.0,4.0,0,61,0,1
Player_226,23,Goalkeeper,Europe,2684,0,0.0,75,54.0,14.6,2,69,89,1
Player_227,24,Forward,Europe,2679,2,1.0,23,37.0,43.7,3,73,0,1
Player_228,25,Forward,Africa,2242,18,2.0,43,37.0,25.5,0,77,0,1
Player_229,30,Midfielder,Africa,578,8,4.0,42,28.0,38.6,0,42,0,0
Player_230,29,Midfielder,Asia,3167,11,13.0,81,19.0,1.0,1,71,0,1
Player_231,22,Forward,Asia,3400,10,5.0,48,18.0,43.4,2,65,0,1
Player_232,26,Midfielder,Africa,1754,0,4.0,69,9.0,7.6,2,23,0,0
Player_233,25,Forward,Europe,3800,2,7.0,41,0.0,13.4,2,63,0,1
Player_234,27,Forward,South America,3004,0,5.0,37,31.0,21.2,2,63,0,1
Player_235,24,Goalkeeper,Asia,1722,0,0.0,86,18.0,46.5,0,44,68,1
Player_236,19,Defender,Africa,1118,0,2.0,77,0.0,31.4,2,37,0,0
Player_237,26,Midfielder,Asia,3167,9,5.0,56,0.0,7.2,0,71,0,1
Player_238,22,Midfielder,Africa,2121,6,6.0,60,21.0,24.6,2,58,0,1
Player_239,31,Midfielder,Asia,2140,6,9.0,73,37.0,22.3,2,65,0,1
Player_240,27,Goalkeeper,South America,1513,0,,71,17.0,14.9,3,43,33,0
Player_241,23,Midfielder,Africa,2255,6,2.0,88,0.0,32.5,0,81,0,1
Player_242,23,Goalkeeper,Asia,3265,0,0.0,52,36.0,33.0,0,64,131,1
Player_243,24,Goalkeeper,Asia,30,0,0.0,74,23.0,16.0,1,57,113,0
Player_244,19,Goalkeeper,Asia,2982,0,0.0,45,38.0,34.9,0,58,77,1
Player_245,21,Defender,Asia,2071,1,3.0,89,45.0,,1,71,0,1
Player_246,19,Forward,Africa,1716,17,9.0,21,6.0,17.6,3,49,0,0
Player_247,22,Midfielder,Asia,2454,4,6.0,78,18.0,11.5,2,73,0,1
Player_248,25,Defender,Asia,1977,1,5.0,78,12.0,28.5,3,39,0,0
Player_249,30,Defender,Asia,2421,1,2.0,46,0.0,1.0,3,77,0,1
Player_250,32,Forward,South America,3400,15,6.0,20,7.0,6.2,1,65,0,1
Player_251,25,Goalkeeper,Africa,1916,0,,40,32.0,1.9,1,48,152,1
Player_252,22,Forward,South America,681,10,8.0,69,0.0,25.5,1,38,0,0
Player_253,25,Goalkeeper,Europe,3400,0,0.0,47,23.0,25.0,1,91,92,1
Player_254,27,Goalkeeper,Asia,1965,0,0.0,74,11.0,27.3,3,39,101,0
Player_255,25,Defender,South America,2875,1,0.0,88,0.0,8.2,1,66,0,1
Player_256,31,Defender,Asia,918,8,4.0,73,16.0,22.3,3,52,0,0
Player_257,28,Defender,Asia,2533,2,1.0,67,14.0,35.0,3,83,0,1
Player_258,18,Midfielder,Asia,30,8,7.0,69,10.0,34.9,2,59,0,0
Player_259,22,Midfielder,Africa,2444,2,1.0,60,35.0,32.3,2,82,0,1
Player_260,28,Midfielder,Africa,2509,3,8.0,82,33.0,35.8,1,85,0,1
Player_261,27,Goalkeeper,Europe,2842,0,,69,0.0,15.6,1,63,69,1
Player_262,25,Goalkeeper,South America,1724,0,0.0,65,0.0,21.2,1,45,65,1
Player_263,28,Forward,Europe,2762,2,2.0,28,0.0,30.4,1,72,0,1
Player_264,24,Midfielder,South America,997,8,2.0,70,,38.4,1,25,0,0
Player_265,18,Goalkeeper,Africa,2310,0,0.0,95,,21.1,2,67,114,1
Player_266,22,Forward,Asia,2485,15,8.0,81,25.0,10.4,3,74,0,1
Player_267,18,Defender,Africa,1783,1,0.0,72,1.0,34.8,2,45,0,0
Player_268,25,Midfielder,Europe,2003,6,10.0,56,4.0,13.4,2,54,0,1
Player_269,22,Goalkeeper,South America,1914,0,0.0,83,23.0,20.9,0,57,85,1
Player_270,27,Goalkeeper,Asia,2138,0,0.0,73,6.0,1.0,0,72,132,1
Player_271,29,Defender,Asia,2779,4,2.0,72,5.0,13.3,0,84,0,1
Player_272,30,Forward,South America,2116,9,5.0,49,0.0,1.0,3,66,0,1
Player_273,21,Defender,Europe,1895,1,1.0,91,24.0,22.5,2,54,0,0
Player_274,21,Goalkeeper,Africa,2823,0,0.0,68,31.0,1.9,2,51,114,1
Player_275,27,Midfielder,Africa,1658,2,11.0,52,50.0,4.5,0,54,0,1
Player_276,24,Forward,Europe,2561,8,4.0,40,0.0,29.1,1,67,0,1
Player_277,25,Goalkeeper,Europe,1603,0,0.0,31,14.0,54.2,3,56,89,0
Player_278,24,Goalkeeper,Africa,2213,0,0.0,78,0.0,34.7,3,85,111,1
Player_279,27,Defender,Europe,2211,3,3.0,64,6.0,,0,98,0,1
Player_280,21,Defender,Europe,1319,2,2.0,72,22.0,14.7,0,67,0,1
Player_281,19,Forward,Asia,1702,11,0.0,37,51.0,18.3,1,48,0,0
Player_282,20,Goalkeeper,Asia,1830,0,0.0,64,11.0,37.2,3,53,56,0
Player_283,26,Forward,Africa,2498,18,9.0,24,1.0,1.0,2,71,0,1
Player_284,27,Midfielder,Africa,2792,5,5.0,72,1.0,49.3,0,50,0,1
Player_285,26,Goalkeeper,South America,3400,0,0.0,70,14.0,12.6,1,72,131,1
Player_286,18,Forward,Europe,3120,3,4.0,33,29.0,1.0,3,81,0,1
Player_287,34,Midfielder,Africa,1382,6,4.0,76,18.0,8.4,0,52,0,1
Player_288,33,Midfielder,Europe,2085,8,1.0,55,27.0,40.3,1,80,0,1
Player_289,24,Midfielder,Asia,2199,0,9.0,83,8.0,10.9,2,78,0,1
Player_290,24,Midfielder,Asia,2160,14,6.0,64,5.0,29.2,1,72,0,1
Player_291,23,Midfielder,South America,2992,11,4.0,42,38.0,7.7,0,86,0,1
Player_292,18,Defender,South America,2735,0,3.0,70,0.0,11.9,2,85,0,1
Player_293,26,Midfielder,Asia,2550,13,0.0,94,20.0,4.5,1,55,0,1
Player_294,25,Goalkeeper,Africa,2752,0,0.0,68,48.0,1.0,2,74,52,1
Player_295,27,Defender,Europe,2732,1,0.0,72,26.0,24.1,1,93,0,1
Player_296,21,Forward,Europe,2608,19,0.0,44,7.0,16.8,1,80,0,1
Player_297,24,Forward,Africa,1794,12,1.0,23,31.0,1.0,0,54,0,1
Player_298,27,Midfielder,South America,1164,3,11.0,55,8.0,24.9,2,56,0,0
Player_299,24,Defender,Asia,1841,4,5.0,84,19.0,5.9,3,32,0,0
Player_300,28,Defender,Africa,2451,4,,47,39.0,3.0,3,69,0,1
Player_301,27,Forward,Asia,3397,30,6.0,37,28.0,31.3,3,70,0,1
Player_302,33,Midfielder,South America,2338,7,9.0,76,34.0,8.7,2,66,0,1
Player_303,21,Goalkeeper,South America,2463,0,0.0,81,27.0,43.1,2,74,110,1
Player_304,21,Forward,Europe,1967,16,7.0,35,16.0,1.0,0,39,0,1
Player_305,29,Goalkeeper,Africa,2545,0,0.0,77,18.0,18.1,1,65,110,1
Player_306,27,Goalkeeper,Asia,2495,0,0.0,62,,34.5,3,67,64,1
Player_307,28,Goalkeeper,Europe,120,0,,64,39.0,27.3,2,55,49,0
Player_308,30,Midfielder,Europe,2356,4,7.0,43,26.0,2.6,1,54,0,1
Player_309,19,Defender,Asia,2867,0,5.0,61,0.0,1.3,0,93,0,1
Player_310,25,Midfielder,Asia,1871,6,9.0,86,46.0,12.6,0,25,0,0
Player_311,24,Forward,South America,2356,6,2.0,45,,18.5,3,63,0,1
Player_312,25,Goalkeeper,South America,1645,0,0.0,83,38.0,1.0,2,31,45,0
Player_313,23,Forward,Africa,2149,3,2.0,24,22.0,19.0,3,64,0,0
Player_314,26,Defender,Europe,1871,1,,90,0.0,30.4,2,57,0,1
Player_315,21,Goalkeeper,Europe,2691,0,0.0,93,0.0,4.2,1,90,98,1
Player_316,28,Defender,South America,2404,2,0.0,85,41.0,14.6,1,74,0,1
Player_317,19,Defender,Europe,2508,3,1.0,86,11.0,26.5,1,59,0,1
Player_318,25,Goalkeeper,Asia,120,0,0.0,67,22.0,12.5,3,43,114,0
Player_319,24,Goalkeeper,Africa,1236,0,0.0,95,45.0,1.0,3,55,74,0
Player_320,27,Forward,Europe,2376,10,2.0,29,0.0,5.5,3,73,0,1
Player_321,23,Defender,Asia,2609,4,0.0,73,27.0,25.1,0,76,0,1
